date,datetime,SPOSTMIN,SACTMIN
05/28/2017,2017-05-28 23:10:00,-999,
05/28/2017,2017-05-28 23:17:00,180,
05/28/2017,2017-05-28 23:24:00,180,
05/28/2017,2017-05-28 23:30:00,180,
05/29/2017,2017-05-29 07:08:00,-999,
05/29/2017,2017-05-29 07:08:00,-999,
05/29/2017,2017-05-29 07:10:00,25,
05/29/2017,2017-05-29 07:17:00,45,
05/29/2017,2017-05-29 06:59:00,,21
05/29/2017,2017-05-29 07:24:00,60,
05/29/2017,2017-05-29 07:30:00,60,
05/29/2017,2017-05-29 07:38:00,80,
05/29/2017,2017-05-29 07:45:00,80,
05/29/2017,2017-05-29 07:52:00,80,
05/29/2017,2017-05-29 07:11:00,,33
05/29/2017,2017-05-29 07:59:00,80,
05/29/2017,2017-05-29 08:03:00,80,
05/29/2017,2017-05-29 08:10:00,-999,
05/29/2017,2017-05-29 08:10:00,125,
05/29/2017,2017-05-29 08:17:00,125,
05/29/2017,2017-05-29 07:18:00,,65
05/29/2017,2017-05-29 08:24:00,150,
05/29/2017,2017-05-29 08:30:00,150,
05/29/2017,2017-05-29 08:39:00,-999,
05/29/2017,2017-05-29 08:45:00,225,
05/29/2017,2017-05-29 08:52:00,225,
05/29/2017,2017-05-29 09:03:00,225,
05/29/2017,2017-05-29 09:10:00,225,
05/29/2017,2017-05-29 09:17:00,225,
05/29/2017,2017-05-29 09:24:00,225,
05/29/2017,2017-05-29 09:30:00,225,
05/29/2017,2017-05-29 09:38:00,225,
05/29/2017,2017-05-29 09:52:00,225,
05/29/2017,2017-05-29 09:59:00,225,
05/29/2017,2017-05-29 10:03:00,225,
05/29/2017,2017-05-29 10:10:00,225,
05/29/2017,2017-05-29 10:17:00,225,
05/29/2017,2017-05-29 10:24:00,225,
05/29/2017,2017-05-29 10:38:00,225,
05/29/2017,2017-05-29 10:45:00,225,
05/29/2017,2017-05-29 10:52:00,200,
05/29/2017,2017-05-29 10:59:00,200,
05/29/2017,2017-05-29 11:03:00,200,
05/29/2017,2017-05-29 11:10:00,200,
05/29/2017,2017-05-29 11:17:00,200,
05/29/2017,2017-05-29 11:24:00,200,
05/28/2017,2017-05-28 08:08:00,,84
05/29/2017,2017-05-29 11:38:00,200,
05/29/2017,2017-05-29 11:45:00,200,
05/29/2017,2017-05-29 11:52:00,160,
05/29/2017,2017-05-29 11:59:00,160,
05/29/2017,2017-05-29 12:03:00,160,
05/29/2017,2017-05-29 12:10:00,160,
05/29/2017,2017-05-29 12:24:00,160,
05/29/2017,2017-05-29 12:38:00,160,
05/29/2017,2017-05-29 12:45:00,160,
05/29/2017,2017-05-29 12:52:00,160,
05/29/2017,2017-05-29 12:59:00,160,
05/29/2017,2017-05-29 13:03:00,110,
05/29/2017,2017-05-29 13:10:00,110,
05/29/2017,2017-05-29 13:17:00,95,
05/29/2017,2017-05-29 13:24:00,95,
05/29/2017,2017-05-29 13:30:00,90,
05/29/2017,2017-05-29 13:38:00,85,
05/29/2017,2017-05-29 13:52:00,85,
05/29/2017,2017-05-29 13:59:00,90,
05/29/2017,2017-05-29 14:03:00,95,
05/29/2017,2017-05-29 14:10:00,95,
05/29/2017,2017-05-29 14:17:00,100,
05/29/2017,2017-05-29 14:24:00,100,
05/29/2017,2017-05-29 14:30:00,115,
05/29/2017,2017-05-29 14:38:00,115,
05/29/2017,2017-05-29 14:52:00,115,
05/29/2017,2017-05-29 14:59:00,115,
05/29/2017,2017-05-29 15:03:00,150,
05/29/2017,2017-05-29 15:10:00,150,
05/29/2017,2017-05-29 15:17:00,150,
05/29/2017,2017-05-29 15:24:00,150,
05/29/2017,2017-05-29 15:30:00,150,
05/29/2017,2017-05-29 15:38:00,185,
05/29/2017,2017-05-29 15:52:00,185,
05/29/2017,2017-05-29 15:59:00,185,
05/29/2017,2017-05-29 16:03:00,185,
05/29/2017,2017-05-29 16:10:00,185,
05/29/2017,2017-05-29 16:17:00,185,
05/29/2017,2017-05-29 16:24:00,185,
05/29/2017,2017-05-29 16:38:00,185,
05/29/2017,2017-05-29 16:45:00,170,
05/29/2017,2017-05-29 16:59:00,170,
05/29/2017,2017-05-29 17:10:00,170,
05/29/2017,2017-05-29 17:17:00,170,
05/29/2017,2017-05-29 17:24:00,170,
05/29/2017,2017-05-29 17:30:00,170,
05/29/2017,2017-05-29 17:38:00,145,
05/29/2017,2017-05-29 17:45:00,145,
05/29/2017,2017-05-29 17:52:00,130,
05/29/2017,2017-05-29 17:59:00,140,
05/29/2017,2017-05-29 18:03:00,140,
05/29/2017,2017-05-29 18:10:00,140,
05/29/2017,2017-05-29 18:17:00,140,
05/29/2017,2017-05-29 18:24:00,140,
05/29/2017,2017-05-29 18:30:00,140,
05/29/2017,2017-05-29 18:38:00,140,
05/29/2017,2017-05-29 18:45:00,140,
05/29/2017,2017-05-29 18:46:00,-999,
05/29/2017,2017-05-29 18:55:00,-999,
05/29/2017,2017-05-29 18:59:00,140,
05/29/2017,2017-05-29 19:03:00,140,
05/29/2017,2017-05-29 19:10:00,140,
05/29/2017,2017-05-29 19:17:00,120,
05/29/2017,2017-05-29 19:24:00,120,
05/29/2017,2017-05-29 19:30:00,145,
05/29/2017,2017-05-29 19:38:00,130,
05/29/2017,2017-05-29 19:45:00,130,
05/29/2017,2017-05-29 19:52:00,130,
05/29/2017,2017-05-29 19:59:00,130,
05/29/2017,2017-05-29 20:03:00,130,
05/29/2017,2017-05-29 20:10:00,130,
05/29/2017,2017-05-29 20:17:00,115,
05/29/2017,2017-05-29 20:24:00,115,
05/29/2017,2017-05-29 20:30:00,115,
05/29/2017,2017-05-29 20:38:00,115,
05/29/2017,2017-05-29 20:45:00,135,
05/29/2017,2017-05-29 20:52:00,135,
05/29/2017,2017-05-29 20:59:00,135,
05/29/2017,2017-05-29 21:10:00,145,
05/29/2017,2017-05-29 21:17:00,145,
05/29/2017,2017-05-29 21:24:00,145,
05/29/2017,2017-05-29 21:30:00,145,
05/29/2017,2017-05-29 21:38:00,-999,
05/29/2017,2017-05-29 21:43:00,-999,
05/29/2017,2017-05-29 21:45:00,-999,
05/29/2017,2017-05-29 21:52:00,-999,
05/29/2017,2017-05-29 21:59:00,-999,
05/29/2017,2017-05-29 22:03:00,-999,
05/29/2017,2017-05-29 22:10:00,-999,
05/29/2017,2017-05-29 22:17:00,-999,
05/29/2017,2017-05-29 22:24:00,-999,
05/29/2017,2017-05-29 22:30:00,-999,
05/29/2017,2017-05-29 22:38:00,-999,
05/29/2017,2017-05-29 22:45:00,-999,
05/29/2017,2017-05-29 22:52:00,-999,
05/29/2017,2017-05-29 22:59:00,-999,
05/29/2017,2017-05-29 23:03:00,-999,
05/29/2017,2017-05-29 23:10:00,-999,
05/29/2017,2017-05-29 23:17:00,90,
05/29/2017,2017-05-29 23:24:00,90,
05/29/2017,2017-05-29 23:30:00,90,
05/29/2017,2017-05-29 23:38:00,90,
05/29/2017,2017-05-29 23:45:00,90,
05/29/2017,2017-05-29 23:52:00,75,
05/29/2017,2017-05-29 23:59:00,75,
05/29/2017,2017-05-30 00:03:00,75,
05/29/2017,2017-05-30 00:10:00,75,
05/29/2017,2017-05-30 00:17:00,75,
05/29/2017,2017-05-30 00:30:00,40,
05/29/2017,2017-05-30 00:38:00,70,
05/29/2017,2017-05-30 00:45:00,70,
05/29/2017,2017-05-30 00:52:00,70,
05/29/2017,2017-05-30 00:02:00,,59
05/30/2017,2017-05-30 07:52:00,5,
05/30/2017,2017-05-30 07:59:00,5,
05/30/2017,2017-05-30 08:03:00,5,
05/30/2017,2017-05-30 08:07:00,-999,
05/30/2017,2017-05-30 08:10:00,5,
05/30/2017,2017-05-30 08:17:00,60,
05/30/2017,2017-05-30 08:24:00,75,
05/30/2017,2017-05-30 08:29:00,-999,
05/30/2017,2017-05-30 08:30:00,110,
05/30/2017,2017-05-30 08:38:00,120,
05/30/2017,2017-05-30 08:07:00,,31
05/30/2017,2017-05-30 08:45:00,180,
05/30/2017,2017-05-30 08:52:00,180,
05/30/2017,2017-05-30 08:59:00,180,
05/30/2017,2017-05-30 09:03:00,180,
05/30/2017,2017-05-30 09:10:00,180,
05/30/2017,2017-05-30 09:17:00,210,
05/30/2017,2017-05-30 09:24:00,210,
05/30/2017,2017-05-30 09:30:00,-999,
05/30/2017,2017-05-30 09:30:00,-999,
05/30/2017,2017-05-30 09:30:00,210,
05/30/2017,2017-05-30 09:38:00,210,
05/30/2017,2017-05-30 09:45:00,210,
05/30/2017,2017-05-30 09:52:00,240,
05/30/2017,2017-05-30 09:59:00,240,
05/30/2017,2017-05-30 10:03:00,240,
05/30/2017,2017-05-30 10:10:00,240,
05/30/2017,2017-05-30 10:17:00,240,
05/30/2017,2017-05-30 10:24:00,240,
05/30/2017,2017-05-30 10:30:00,240,
05/30/2017,2017-05-30 10:38:00,240,
05/30/2017,2017-05-30 10:52:00,240,
05/30/2017,2017-05-30 10:59:00,240,
05/30/2017,2017-05-30 11:03:00,240,
05/30/2017,2017-05-30 11:10:00,240,
05/30/2017,2017-05-30 11:17:00,240,
05/30/2017,2017-05-30 11:24:00,240,
05/30/2017,2017-05-30 11:30:00,240,
05/30/2017,2017-05-30 11:38:00,240,
05/30/2017,2017-05-30 11:52:00,240,
05/30/2017,2017-05-30 12:03:00,240,
05/30/2017,2017-05-30 12:10:00,240,
05/30/2017,2017-05-30 12:17:00,240,
05/30/2017,2017-05-30 12:24:00,240,
05/30/2017,2017-05-30 12:38:00,240,
05/30/2017,2017-05-30 12:59:00,240,
05/30/2017,2017-05-30 13:03:00,240,
05/30/2017,2017-05-30 13:17:00,240,
05/30/2017,2017-05-30 13:24:00,240,
05/30/2017,2017-05-30 13:30:00,180,
05/30/2017,2017-05-30 13:38:00,180,
05/30/2017,2017-05-30 13:45:00,180,
05/30/2017,2017-05-30 13:52:00,180,
05/30/2017,2017-05-30 13:59:00,180,
05/30/2017,2017-05-30 14:03:00,130,
05/30/2017,2017-05-30 14:10:00,130,
05/30/2017,2017-05-30 14:17:00,130,
05/30/2017,2017-05-30 14:24:00,130,
05/30/2017,2017-05-30 14:30:00,130,
05/30/2017,2017-05-30 14:38:00,130,
05/30/2017,2017-05-30 14:45:00,130,
05/30/2017,2017-05-30 14:52:00,150,
05/30/2017,2017-05-30 14:59:00,150,
05/30/2017,2017-05-30 15:03:00,150,
05/30/2017,2017-05-30 15:17:00,130,
05/30/2017,2017-05-30 15:24:00,130,
05/30/2017,2017-05-30 15:31:00,130,
05/30/2017,2017-05-30 15:34:00,130,
05/30/2017,2017-05-30 15:38:00,130,
05/30/2017,2017-05-30 15:45:00,130,
05/30/2017,2017-05-30 15:52:00,130,
05/30/2017,2017-05-30 15:59:00,130,
05/30/2017,2017-05-30 16:03:00,130,
05/30/2017,2017-05-30 16:17:00,130,
05/30/2017,2017-05-30 16:24:00,130,
05/30/2017,2017-05-30 16:38:00,130,
05/30/2017,2017-05-30 16:52:00,130,
05/30/2017,2017-05-30 16:59:00,130,
05/30/2017,2017-05-30 17:03:00,130,
05/30/2017,2017-05-30 17:17:00,130,
05/30/2017,2017-05-30 17:24:00,130,
05/30/2017,2017-05-30 17:38:00,130,
05/30/2017,2017-05-30 17:45:00,130,
05/30/2017,2017-05-30 17:52:00,130,
05/30/2017,2017-05-30 17:59:00,130,
05/30/2017,2017-05-30 18:03:00,130,
05/30/2017,2017-05-30 18:10:00,165,
05/30/2017,2017-05-30 18:17:00,165,
05/30/2017,2017-05-30 18:30:00,165,
05/30/2017,2017-05-30 18:38:00,165,
