date,datetime,SPOSTMIN,SACTMIN
05/27/2017,2017-05-27 18:30:00,160,
05/27/2017,2017-05-27 18:38:00,220,
05/27/2017,2017-05-27 18:45:00,180,
05/27/2017,2017-05-27 18:52:00,180,
05/27/2017,2017-05-27 19:03:00,180,
05/27/2017,2017-05-27 19:10:00,180,
05/27/2017,2017-05-27 19:17:00,180,
05/27/2017,2017-05-27 19:24:00,220,
05/27/2017,2017-05-27 19:30:00,220,
05/27/2017,2017-05-27 19:38:00,220,
05/27/2017,2017-05-27 19:45:00,220,
05/27/2017,2017-05-27 19:52:00,220,
05/27/2017,2017-05-27 19:59:00,220,
05/27/2017,2017-05-27 20:10:00,220,
05/27/2017,2017-05-27 20:24:00,180,
05/27/2017,2017-05-27 20:30:00,180,
05/27/2017,2017-05-27 20:38:00,180,
05/27/2017,2017-05-27 20:45:00,180,
05/27/2017,2017-05-27 20:52:00,-999,
05/27/2017,2017-05-27 20:59:00,-999,
05/27/2017,2017-05-27 21:03:00,-999,
05/27/2017,2017-05-27 21:10:00,-999,
05/27/2017,2017-05-27 21:17:00,-999,
05/27/2017,2017-05-27 21:24:00,-999,
05/27/2017,2017-05-27 21:30:00,-999,
05/27/2017,2017-05-27 21:38:00,-999,
05/27/2017,2017-05-27 21:45:00,-999,
05/27/2017,2017-05-27 21:59:00,-999,
05/27/2017,2017-05-27 22:03:00,-999,
05/27/2017,2017-05-27 22:10:00,-999,
05/27/2017,2017-05-27 22:17:00,-999,
05/27/2017,2017-05-27 22:24:00,-999,
05/27/2017,2017-05-27 22:30:00,-999,
05/27/2017,2017-05-27 22:38:00,-999,
05/27/2017,2017-05-27 22:45:00,-999,
05/27/2017,2017-05-27 22:52:00,-999,
05/27/2017,2017-05-27 22:59:00,-999,
05/27/2017,2017-05-27 23:03:00,-999,
05/27/2017,2017-05-27 23:10:00,15,
05/27/2017,2017-05-27 23:17:00,20,
05/27/2017,2017-05-27 23:24:00,20,
05/27/2017,2017-05-27 23:30:00,20,
05/27/2017,2017-05-27 23:38:00,35,
05/27/2017,2017-05-27 23:45:00,35,
05/27/2017,2017-05-27 23:52:00,35,
05/27/2017,2017-05-27 23:59:00,75,
05/27/2017,2017-05-28 00:03:00,75,
05/27/2017,2017-05-28 00:10:00,60,
05/27/2017,2017-05-28 00:17:00,70,
05/27/2017,2017-05-28 00:24:00,50,
05/27/2017,2017-05-28 00:30:00,60,
05/27/2017,2017-05-28 00:38:00,60,
05/27/2017,2017-05-28 00:45:00,60,
05/27/2017,2017-05-28 00:52:00,40,
05/27/2017,2017-05-28 00:59:00,30,
05/28/2017,2017-05-28 07:30:00,5,
05/28/2017,2017-05-28 07:38:00,5,
05/28/2017,2017-05-28 07:45:00,15,
05/28/2017,2017-05-28 07:52:00,15,
05/28/2017,2017-05-28 07:59:00,15,
05/28/2017,2017-05-28 08:03:00,60,
05/28/2017,2017-05-28 08:10:00,120,
05/28/2017,2017-05-28 08:17:00,120,
